# 2. 咨询分配规则解读

language=zh
language_probability=1.000
model=tiny

[00:00:03.500 - 00:00:05.500] 如果知道往後會有門大家好
[00:22:21.570 - 00:22:22.570] 子账互A
[00:22:22.570 - 00:22:23.570] 登陆到TM
[00:22:23.570 - 00:22:24.570] 点击分配案例
[00:22:24.570 - 00:22:26.570] 选择子账互
[00:22:26.570 - 00:22:27.570] 必作为更近人
[00:22:27.570 - 00:22:28.570] 点击
[00:22:28.570 - 00:22:29.570] 却然分配
[00:22:30.570 - 00:22:31.570] 好 场景
[00:22:31.570 - 00:22:32.570] 多夜五元
[00:22:32.570 - 00:22:33.570] 协同更近一场景
[00:22:33.570 - 00:22:34.570] 如果说
[00:22:34.570 - 00:22:36.570] 公司的夜五元
[00:22:36.570 - 00:22:37.570] 按照产品线话
[00:22:37.570 - 00:22:40.570] 每家资讯多个产品
[00:22:40.570 - 00:22:42.570] 有不同的夜五元负责
[00:22:42.570 - 00:22:43.570] 如果实现
[00:22:43.570 - 00:22:45.570] 买家还是归属于
[00:22:45.570 - 00:22:46.570] 又元A
[00:22:46.570 - 00:22:48.570] 又元必协助更近
[00:22:48.570 - 00:22:49.570] 买家呢
[00:22:49.570 - 00:22:50.570] 第一部
[00:22:50.570 - 00:22:52.570] 主张户在子张户受选页面
[00:22:52.570 - 00:22:53.570] 却然A
[00:22:53.570 - 00:22:54.570] 上机管理
[00:22:54.570 - 00:22:55.570] 以及TM分配全现
[00:22:55.570 - 00:22:56.570] 失暴已经开启
[00:22:56.570 - 00:22:58.570] 此时就
[00:22:58.570 - 00:22:59.570] 不需要在勾选
[00:22:59.570 - 00:23:01.570] 客户负责人同步更新了
[00:23:01.570 - 00:23:03.570] TM回复的内容
[00:23:03.570 - 00:23:04.570] 是否分配呢
[00:23:04.570 - 00:23:05.570] 按照我们的需求选择
[00:23:05.570 - 00:23:07.570] 第二部
[00:23:07.570 - 00:23:08.570] 子张户A
[00:23:08.570 - 00:23:09.570] 现在TM内
[00:23:09.570 - 00:23:10.570] 将
[00:23:10.570 - 00:23:12.570] 其合买家
[00:23:12.570 - 00:23:13.570] 勾通的
[00:23:13.570 - 00:23:15.570] 记录分配给子张户B
[00:23:15.570 - 00:23:16.570] 子张户B
[00:23:16.570 - 00:23:18.570] 继续合买家勾通
[00:23:18.570 - 00:23:19.570] 勾通完以后
[00:23:19.570 - 00:23:20.570] 子张户B
[00:23:20.570 - 00:23:22.570] 再将其于买家
[00:23:22.570 - 00:23:23.570] 新增的勾通记录
[00:23:23.570 - 00:23:25.570] 分配给子张户A
[00:23:25.570 - 00:23:27.570] 此时分配的
[00:23:27.570 - 00:23:29.570] 只是双方买家的
[00:23:29.570 - 00:23:30.570] 勾通内容
[00:23:30.570 - 00:23:33.570] 客户负责人是没有做调整的
[00:23:33.570 - 00:23:34.570] 还是归属的A
[00:23:34.570 - 00:23:36.570] 这个会比较少一些
[00:23:36.570 - 00:23:38.570] 但是应用的场景
[00:23:38.570 - 00:23:39.570] 不是特别多
[00:23:39.570 - 00:23:41.570] 如果有确实有这种应用场景
[00:23:41.570 - 00:23:43.570] 大家可以是理一下
[00:23:43.570 - 00:23:44.570] 我们刚刚这个
[00:23:44.570 - 00:23:45.570] 也没有它的一个
[00:23:45.570 - 00:23:46.570] 如何去分配
[00:23:46.570 - 00:23:47.570] 实际操作一下
[00:23:47.570 - 00:23:50.570] 就会比较清晰的能够了解到
[00:23:50.570 - 00:23:55.000] 接下来两个分配
[00:23:55.000 - 00:23:56.000] 阿里
[00:23:56.000 - 00:23:57.000] 成绩式的
[00:23:57.000 - 00:23:58.000] 上继更进模式
[00:23:58.000 - 00:23:59.000] 公司不同
[00:23:59.000 - 00:24:00.000] 直级的员工
[00:24:00.000 - 00:24:01.000] 在上继更进过程中
[00:24:01.000 - 00:24:02.000] 成单的不同的值
[00:24:02.000 - 00:24:03.000] 值责
[00:24:03.000 - 00:24:04.000] 比如
[00:24:04.000 - 00:24:05.000] 买家现有子张户A
[00:24:05.000 - 00:24:06.000] 仅仅更进
[00:24:06.000 - 00:24:07.000] 确定意下后
[00:24:07.000 - 00:24:08.000] 转由子张户B更进
[00:24:08.000 - 00:24:09.000] 最终下单环节
[00:24:09.000 - 00:24:10.000] 再交由主张户更进
[00:24:10.000 - 00:24:12.000] 买家同一
[00:24:12.000 - 00:24:13.000] 归属于主张户
[00:24:13.000 - 00:24:15.000] 同样还是走两步
[00:24:15.000 - 00:24:16.000] 第一步
[00:24:16.000 - 00:24:17.000] 主张户在级张户的
[00:24:17.000 - 00:24:18.000] 受权业面
[00:24:18.000 - 00:24:20.000] 确认子张户AB的商机管理
[00:24:20.000 - 00:24:22.000] 以及TM分配的旋线
[00:24:22.000 - 00:24:23.000] 同时勾选
[00:24:23.000 - 00:24:25.000] 客户负责人同不跟心
[00:24:25.000 - 00:24:26.000] TM回分内容
[00:24:26.000 - 00:24:27.000] 是否分配呢
[00:24:27.000 - 00:24:29.000] 去按照我们的需求选择
[00:24:29.000 - 00:24:30.000] 第二步
[00:24:30.000 - 00:24:31.000] 子张户A
[00:24:31.000 - 00:24:33.000] 先在TM内
[00:24:33.000 - 00:24:35.000] 将其与买家的
[00:24:35.000 - 00:24:36.000] 勾通记录
[00:24:36.000 - 00:24:37.000] 分配给级张户B
[00:24:37.000 - 00:24:38.000] 级张户B
[00:24:38.000 - 00:24:39.000] 继续买家勾通
[00:24:39.000 - 00:24:41.000] 勾通完以后
[00:24:41.000 - 00:24:43.000] 子张户B在将该买家分配的主张户
[00:24:43.000 - 00:24:44.000] 最终的有主张户
[00:24:44.000 - 00:24:47.000] 受到子张户A和B
[00:24:47.000 - 00:24:49.000] 所有的勾通记录
[00:24:49.000 - 00:24:51.000] 前客户负责人最终是
[00:24:51.000 - 00:24:53.000] 勾选是归属于主张户的
[00:24:53.000 - 00:24:56.980] 下一个场景
[00:24:56.980 - 00:24:57.980] 买家归属同一
[00:24:57.980 - 00:24:58.980] 很多公司
[00:24:58.980 - 00:25:00.980] 因前期为勾选的
[00:25:00.980 - 00:25:01.980] 同一买家副家归子
[00:25:01.980 - 00:25:03.980] 导致买家归属不一致
[00:25:03.980 - 00:25:05.980] 比如买家与子张户AB
[00:25:05.980 - 00:25:07.980] C都发生过一些会话记录
[00:25:07.980 - 00:25:08.980] 现在拿到同一
[00:25:08.980 - 00:25:09.980] 买家管理
[00:25:09.980 - 00:25:10.980] 买家管理
[00:25:10.980 - 00:25:11.980] 主张户呢
[00:25:11.980 - 00:25:13.980] 受选子张户AB
[00:25:13.980 - 00:25:16.980] 将该买家转给子张户C
[00:25:16.980 - 00:25:18.980] 第一步
[00:25:18.980 - 00:25:20.980] 主张户在子张户受选页面
[00:25:20.980 - 00:25:21.980] 确认子张户AB的商席管理
[00:25:21.980 - 00:25:23.980] 全现以及TM分配全现
[00:25:23.980 - 00:25:24.980] 是否已经开启
[00:25:24.980 - 00:25:25.980] 同时勾选
[00:25:25.980 - 00:25:26.980] 扣负责人同不更新
[00:25:26.980 - 00:25:28.980] TM回复内容是否
[00:25:28.980 - 00:25:30.980] 分配按照我们的需求选择
[00:25:30.980 - 00:25:31.980] 第二步
[00:25:31.980 - 00:25:34.980] 子张户A和B分别登录TM选择
[00:25:34.980 - 00:25:36.980] 这个买家
[00:25:36.980 - 00:25:37.980] 点击分配按钮
[00:25:37.980 - 00:25:38.980] 军选择子张户C
[00:25:38.980 - 00:25:39.980] 作为一个敬人
[00:25:39.980 - 00:25:40.980] 点击居居人分配
[00:25:40.980 - 00:25:41.980] 此时子张户C
[00:25:41.980 - 00:25:43.980] 会分别收到
[00:25:43.980 - 00:25:45.980] 来自子张户A和B
[00:25:45.980 - 00:25:47.980] 和买家最近一年的所有的商席
[00:25:47.980 - 00:25:48.980] 网来
[00:25:48.980 - 00:25:49.980] 并且现在子张户C
[00:25:49.980 - 00:25:50.980] 就变成了
[00:25:50.980 - 00:25:52.980] 这个买家最新的
[00:25:52.980 - 00:25:53.980] 扣负责人
[00:25:53.980 - 00:25:54.980] 然后买家发送的金融
[00:25:54.980 - 00:25:56.980] 也就会给到子张户C
[00:25:56.980 - 00:25:59.980] 这是最一种场景
[00:26:01.900 - 00:26:03.900] 以上就是我们本门
[00:26:03.900 - 00:26:04.900] 客人的全部内容
[00:26:04.900 - 00:26:06.900] 希望大家能够结合自己的
[00:26:06.900 - 00:26:08.900] 业务的场景
[00:26:08.900 - 00:26:09.900] 多多关注和使用方
[00:26:09.900 - 00:26:10.900] 商席分配的
[00:26:10.900 - 00:26:11.900] 各项功能
[00:26:11.900 - 00:26:12.900] 促进商席
[00:26:12.900 - 00:26:13.900] 更进的效率提升
[00:26:13.900 - 00:26:14.900] 感谢大家的收听
[00:26:14.900 - 00:26:15.900] 谢谢大家
[00:26:15.900 - 00:26:16.900] 再见
